283,Athmallik,N.A.C.,21,Orissa,15,Anugul
284,Athni,T.M.C,29,Karnataka,1,Belgaum
285,Athur,T.P.,33,Tamil Nadu,28,Toothukudi
286,Athur,T.P.,33,Tamil Nadu,30,Kanniyakumari
287,Atrauli,M.B.,9,Uttar Pradesh,12,Aligarh
288,Atraulia,N.P.,9,Uttar Pradesh,61,Azamgarh
289,Attayampatti,T.P.,33,Tamil Nadu,8,Salem
290,Attingal,M,32,Kerala,14,Thiruvananthapuram
291,Attur,M,33,Tamil Nadu,8,Salem
292,Atul,N.M.,24,Gujarat,25,Valsad
293,Aurad,T.P.,29,Karnataka,5,Bidar
294,Auraiya,M.B.,9,Uttar Pradesh,32,Auraiya
295,Aurangabad,C.T.,19,West Bengal,7,Murshidabad 
296,Aurangabad,N.P.,9,Uttar Pradesh,11,Bulandshahr 
297,Aurangabad,M.Corp.,27,Maharashtra,19,Aurangabad
298,Aurangabad,C.T.,27,Maharashtra,19,Aurangabad
299,Aurangabad,M,10,Bihar,34,Aurangabad
300,Aurangabad Bangar,C.T.,9,Uttar Pradesh,14,Mathura
301,Auras,N.P.,9,Uttar Pradesh,26,Unnao
302,Ausa,M.Cl.,27,Maharashtra,28,Latur
303,Avadattur,C.T.,33,Tamil Nadu,8,Salem
304,Avadi,M,33,Tamil Nadu,1,Thiruvallur
305,Avalpoondurai,T.P.,33,Tamil Nadu,10,Erode
306,Avanashi,T.P.,33,Tamil Nadu,12,Coimbatore
307,Avaniapuram,T.P.,33,Tamil Nadu,24,Madurai
308,Avinissery,C.T.,32,Kerala,7,Thrissur
309,Awagarh,N.P.,9,Uttar Pradesh,17,Etah
310,Awantipora,N.A.C.,1,Jammu & Kashmir,5,Pulwama
311,Ayakudi,T.P.,33,Tamil Nadu,13,Dindigul
312,Aygudi,T.P.,33,Tamil Nadu,29,Tirunelveli
313,Ayodhya,M.B.,9,Uttar Pradesh,47,Faizabad
314,Ayothiapattinam,T.P.,33,Tamil Nadu,8,Salem
315,Ayyalur,T.P.,33,Tamil Nadu,13,Dindigul
316,Ayyampalayam,T.P.,33,Tamil Nadu,13,Dindigul
317,Ayyampettai,C.T.,33,Tamil Nadu,3,Kancheepuram
318,Ayyampettai,T.P.,33,Tamil Nadu,21,Thanjavur
319,Azamgarh,M.B.,9,Uttar Pradesh,61,Azamgarh
320,Azhagiapandiapuram,T.P.,33,Tamil Nadu,30,Kanniyakumari
321,Azhikode North,C.T.,32,Kerala,2,Kannur
322,Azhikode South,C.T.,32,Kerala,2,Kannur
323,Azizpur,C.T.,9,Uttar Pradesh,15,Agra
324,Azmatgarh,N.P.,9,Uttar Pradesh,61,Azamgarh
325,B. Mallapuram,T.P.,33,Tamil Nadu,5,Dharmapuri
326,B. Meenakshipuram,T.P.,33,Tamil Nadu,25,Theni
327,Babai,N.P.,23,Madhya Pradesh,37,Hoshangabad
328,Babar Pur,C.T.,7,Delhi *,3,North East
329,Babarpur Ajitmal,N.P.,9,Uttar Pradesh,32,Auraiya
330,Baberu,N.P.,9,Uttar Pradesh,40,Banda
331,Babhulgaon,C.T.,27,Maharashtra,16,Hingoli
332,Babina,C.B.,9,Uttar Pradesh,36,Jhansi
333,Babiyal,C.T.,6,Haryana,2,Ambala
334,Bablari Dewanganj,C.T.,19,West Bengal,10,Nadia 
335,Babrala,N.P.,9,Uttar Pradesh,19,Budaun
336,Babua Kalan,C.T.,20,Jharkhand,12,Dhanbad
337,Babugarh,N.P.,9,Uttar Pradesh,9,Ghaziabad
338,Bachhraon,M.B.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
339,Bachhrawan,N.P.,9,Uttar Pradesh,28,Rae Bareli
340,Bad,C.T.,9,Uttar Pradesh,14,Mathura
341,Bada Malhera,N.P.,23,Madhya Pradesh,9,Chhatarpur
342,Badagaon,N.P.,23,Madhya Pradesh,8,Tikamgarh
343,Badagoan,N.P.,23,Madhya Pradesh,22,Shajapur
344,Badami,T.P.,29,Karnataka,2,Bagalkot
345,Badami Bagh,C.B.,1,Jammu & Kashmir,3,Srinagar
346,Badarpur,T.C.,18,Assam,22,Karimganj
347,Badarpur Rly Town,C.T.,18,Assam,22,Karimganj
348,Badarwas,N.P.,23,Madhya Pradesh,6,Shivpuri
349,Badawada,N.P.,23,Madhya Pradesh,20,Ratlam
350,Baddi,N.P.,2,Himachal Pradesh,9,Solan
351,Bade Bacheli,N.P.,22,Chhattisgarh,16,Dantewada
352,Badepalle,C.T.,28,Andhra Pradesh,7,Mahbubnagar
353,Badgam,N.A.C.,1,Jammu & Kashmir,4,Badgam
354,Badhagachhi,C.T.,19,West Bengal,12,Hugli 
355,Badharghat,C.T.,16,Tripura,1,West Tripura 
356,Badhni Kalan,N.P.,3,Punjab,10,Moga
357,Badi,N.P.,23,Madhya Pradesh,34,Raisen
358,Badkuhi,C.T.,23,Madhya Pradesh,43,Chhindwara
359,Badlapur,M.Cl.,27,Maharashtra,21,Thane
360,Badnagar,M,23,Madhya Pradesh,21,Ujjain
361,Badnawar,N.P.,23,Madhya Pradesh,25,Dhar
362,Badod,N.P.,23,Madhya Pradesh,22,Shajapur
363,Badoda,M,23,Madhya Pradesh,1,Sheopur
364,Badra,C.T.,23,Madhya Pradesh,16,Shahdol
365,Badrinathpuri,N.P.,5,Uttaranchal,2,Chamoli
366,Baduria,M,19,West Bengal,11,North Twentyfour Parganas
367,Bagaha,M,10,Bihar,1,Pashchim Champaran
368,Bagalkot,C.M.C,29,Karnataka,2,Bagalkot
369,Bagasara,M,24,Gujarat,13,Amreli
370,Bagbahara,N.P.,22,Chhattisgarh,12,Mahasamund
371,Bagbera,C.T.,20,Jharkhand,18,Purbi Singhbhum
372,Bagepalli,T.P.,29,Karnataka,19,Kolar
373,Bageshwar,M.B.,5,Uttaranchal,8,Bageshwar
374,Baggar,M,8,Rajasthan,5,Jhunjhunun
375,Bagh,C.T.,23,Madhya Pradesh,25,Dhar
376,Bagha Purana,N.P.,3,Punjab,10,Moga
377,Baghmara,M.B.,17,Meghalaya,3,South Garo Hills
378,Baghpat,M.B.,9,Uttar Pradesh,8,Baghpat
